Index,Hex,Hexnac,Fuc,Neu5Ac,Neu5gc,Pentose,Kdn,Hexa,notes
1,10,2,0,0,0,0,0,0,10200
2,3,2,0,0,0,0,0,0,3200
3,3,2,1,0,0,0,0,0,3210
4,3,3,0,0,0,0,0,0,3300
5,3,3,1,0,0,0,0,0,3310
6,3,4,1,0,0,0,0,0,3410
7,3,5,3,0,0,0,0,0,3530
8,4,2,0,0,0,0,0,0,4200
9,4,3,0,0,0,0,0,0,4300
10,4,3,0,1,0,0,0,0,4301
11,4,3,1,0,0,0,0,0,4310
12,4,3,1,1,0,0,0,0,4311
13,4,4,0,1,0,0,0,0,4401
14,4,4,1,0,0,0,0,0,4410
15,4,4,1,1,0,0,0,0,4411
16,4,4,3,0,0,0,0,0,4430
17,4,4,3,1,0,0,0,0,4431
18,4,5,0,0,0,0,0,0,4500
19,4,5,0,1,0,0,0,0,4501
20,4,5,1,1,0,0,0,0,4511
21,4,6,0,0,0,0,0,0,4600
22,4,6,0,1,0,0,0,0,4601
23,5,2,0,0,0,0,0,0,5200
24,5,3,0,0,0,0,0,0,5300
25,5,3,0,1,0,0,0,0,5301
26,5,3,1,1,0,0,0,0,5311
27,5,4,0,0,0,0,0,0,5400
28,5,4,0,1,0,0,0,0,5401
29,5,4,0,2,0,0,0,0,5402
30,5,4,1,0,0,0,0,0,5410
31,5,4,1,1,0,0,0,0,5411
32,5,4,1,2,0,0,0,0,5412
33,5,4,2,0,0,0,0,0,5420
34,5,4,3,0,0,0,0,0,5430
35,5,5,0,0,0,0,0,0,5500
36,5,5,0,1,0,0,0,0,5501
37,5,5,0,2,0,0,0,0,5502
38,5,5,1,0,0,0,0,0,5510
39,5,5,1,1,0,0,0,0,5511
40,5,5,2,0,0,0,0,0,5520
41,6,2,0,0,0,0,0,0,6200
42,6,3,0,1,0,0,0,0,6301
43,6,3,1,1,0,0,0,0,6311
44,6,4,1,0,0,0,0,0,6410
45,6,4,1,1,0,0,0,0,6411
46,6,5,0,0,0,0,0,0,6500
47,6,5,0,1,0,0,0,0,6501
48,6,5,1,0,0,0,0,0,6510
49,6,5,1,1,0,0,0,0,6511
50,6,5,1,2,0,0,0,0,6512
51,6,5,2,3,0,0,0,0,6523
52,6,5,3,0,0,0,0,0,6530
53,6,6,0,0,0,0,0,0,6600
54,6,6,1,1,0,0,0,0,6611
55,6,6,1,2,0,0,0,0,6612
56,7,6,0,1,0,0,0,0,7601
57,7,6,0,3,0,0,0,0,7603
58,7,6,1,2,0,0,0,0,7612
59,8,2,0,0,0,0,0,0,8200
60,9,2,0,0,0,0,0,0,9200
61,5,5,1,2,0,0,0,0,5512
62,4,4,0,0,0,0,0,0,4400
63,3,4,0,0,0,0,0,0,3400
64,6,5,0,2,0,0,0,0,6502
65,7,2,0,0,0,0,0,0,7200
66,6,5,1,3,0,0,0,0,6513
67,6,5,0,3,0,0,0,0,6503
68,6,4,0,1,0,0,0,0,6401
69,7,6,0,2,0,0,0,0,7602
70,6,3,0,0,0,0,0,0,6300
