Index,Hex,Hexnac,Fuc,Neu5Ac,Neu5gc,Pentose,Kdn,Hexa
1,1,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0
3,1,0,0,1,0,0,0,0
4,1,1,0,1,0,0,0,0
5,1,1,0,2,0,0,0,0
6,1,2,0,0,0,0,0,0
7,1,2,0,1,0,0,0,0
8,2,2,0,0,0,0,0,0
9,2,2,0,1,0,0,0,0
10,2,2,0,2,0,0,0,0
11,2,1,0,1,0,0,0,0
12,2,0,0,1,0,0,0,0
13,2,0,0,0,0,0,0,0
14,3,0,0,0,0,0,0,0
15,3,1,0,0,0,0,0,0
16,3,0,0,1,0,0,0,0
17,3,1,0,1,0,0,0,0
18,3,2,0,1,0,0,0,0
19,3,2,0,2,0,0,0,0
20,1,0,0,1,0,0,0,0
21,1,1,0,1,0,0,0,0
22,1,0,0,2,0,0,0,0
23,1,1,0,2,0,0,0,0
24,1,1,0,3,0,0,0,0
25,1,2,0,1,0,0,0,0
26,1,2,0,2,0,0,0,0
27,2,2,0,1,0,0,0,0
28,2,2,0,2,0,0,0,0
29,2,2,0,3,0,0,0,0
30,2,1,0,2,0,0,0,0
31,2,0,0,2,0,0,0,0
32,2,0,0,1,0,0,0,0
33,3,0,0,1,0,0,0,0
34,3,1,0,1,0,0,0,0
35,3,0,0,2,0,0,0,0
36,3,1,0,2,0,0,0,0
37,3,2,0,2,0,0,0,0
38,3,2,0,3,0,0,0,0
39,1,0,1,0,0,0,0,0
40,1,1,1,0,0,0,0,0
41,1,0,1,1,0,0,0,0
42,1,1,1,1,0,0,0,0
43,1,1,1,2,0,0,0,0
44,1,2,1,0,0,0,0,0
45,1,2,1,1,0,0,0,0
46,2,2,1,0,0,0,0,0
47,2,2,1,1,0,0,0,0
48,2,2,1,2,0,0,0,0
49,2,1,1,1,0,0,0,0
50,2,0,1,1,0,0,0,0
51,2,0,1,0,0,0,0,0
52,3,0,1,0,0,0,0,0
53,3,1,1,0,0,0,0,0
54,3,0,1,1,0,0,0,0
55,3,1,1,1,0,0,0,0
56,3,2,1,1,0,0,0,0
57,3,2,1,2,0,0,0,0
